T_K,fCO2,Ecalc,t_star_s,sigma_s
1160.0,0.7,0.9444119193131463,24.443855232995183,211.64021164021165
1160.5,0.7,0.9470400313286435,23.245079983978503,211.64021164021165
1161.0,0.7,0.9494637833566834,22.143481930407038,211.64021164021165
1161.5,0.7,0.951705782888119,21.127853049381986,211.64021164021165
1162.0,0.7,0.9537854261959486,20.18864354630053,211.64021164021165
1162.5,0.7,0.9557194486812891,19.31766614010816,211.64021164021165
1163.0,0.7,0.9575223658306542,18.507861451458112,211.64021164021165
1163.5,0.7,0.9592068293279591,17.7531102543376,211.64021164021165
1164.0,0.7,0.9607839167689228,17.04808202194513,211.64021164021165
1164.5,0.7,0.9622633689811916,16.38811183679272,211.64021164021165
1165.0,0.7,0.9636537856779813,15.769099655252276,211.64021164021165
1165.5,0.7,0.9649627877349177,15.187427329256444,211.64021164021165
1166.0,0.7,0.9661971525473286,14.63988983754487,211.64021164021165
1166.5,0.7,0.9673629275364596,14.123637966383582,211.64021164021165
1167.0,0.7,0.9684655258111472,13.636130275842497,211.64021164021165
1167.5,0.7,0.9695098071736457,13.17509264283101,211.64021164021165
1168.0,0.7,0.9705001470233403,12.73848402227514,211.64021164021165
1168.5,0.7,0.9714404952161227,12.32446733928483,211.64021164021165
1169.0,0.7,0.9723344265467591,11.931384637094796,211.64021164021165
1169.5,0.7,0.9731851842127489,11.557735772118635,211.64021164021165
1170.0,0.7,0.9739957173720782,11.20216007918611,211.64021164021165
1170.5,0.7,0.9747687137103208,10.86342053483863,211.64021164021165
1171.0,0.7,0.9755066277738473,10.540390030420776,211.64021164021165
1171.5,0.7,0.9762117056976106,10.232039434176162,211.64021164021165
1172.0,0.7,0.9768860068516043,9.937427176113141,211.64021164021165
1172.5,0.7,0.9775314228446939,9.65569013374312,211.64021164021165
1173.0,0.7,0.9781496942547542,9.386035632997537,211.64021164021165
1173.5,0.7,0.9787424253961526,9.12773440831396,211.64021164021165
1174.0,0.7,0.9793110973880433,8.880114390339388,211.64021164021165
1174.5,0.7,0.9798570797473043,8.64255520992067,211.64021164021165
1175.0,0.7,0.9803816406967139,8.414483323845554,211.64021164021165
1175.5,0.7,0.9808859563515552,8.195367681793234,211.64021164021165
1176.0,0.7,0.981371118924416,7.984715865660541,211.64021164021165
1176.5,0.7,0.9818381440684443,7.782070642256217,211.64021164021165
1177.0,0.7,0.9822879774628129,7.587006878632634,211.64021164021165
1177.5,0.7,0.9827215007300105,7.399128776316307,211.64021164021165
1178.0,0.7,0.9831395367628112,7.2180673866265,211.64021164021165
1178.5,0.7,0.9835428545284278,7.043478374308611,211.64021164021165
1179.0,0.7,0.983932173408787,6.875040001004364,211.64021164021165
1179.5,0.7,0.984308167128353,6.7124513037543645,211.64021164021165
1180.0,0.7,0.9846714673144416,6.555430446875235,211.64021164021165
1180.5,0.7,0.9850226667296378,6.403713228259421,211.64021164021165
1181.0,0.7,0.9853623222108926,6.257051723477865,211.64021164021165
1181.5,0.7,0.9856909573460029,6.1152130530776825,211.64021164021165
1182.0,0.7,0.9860090649143168,5.977978260211172,211.64021164021165
1182.5,0.7,0.9863171091156878,5.845141287245247,211.64021164021165
1183.0,0.7,0.9866155276086734,5.716508041314451,211.64021164021165
1183.5,0.7,0.9869047333768344,5.591895539928738,211.64021164021165
1184.0,0.7,0.9871851164397806,5.471131128746843,211.64021164021165
1184.5,0.7,0.9874570454238375,5.3540517645032075,211.64021164021165
1185.0,0.7,0.9877208690055981,5.240503356844077,211.64021164021165
1185.5,0.7,0.9879769172401471,5.130340163502565,211.64021164021165
1186.0,0.7,0.9882255027846369,5.023424233837756,211.64021164021165
1186.5,0.7,0.9884669220266441,4.919624896284529,211.64021164021165
1187.0,0.7,0.9887014561259297,4.818818285724811,211.64021164021165
1187.5,0.7,0.988929371977104,4.720886907199065,211.64021164021165
1188.0,0.7,0.989150923100302,4.625719232739321,211.64021164021165
1188.5,0.7,0.9893663504659616,4.533209328427419,211.64021164021165
1189.0,0.7,0.9895758832592421,4.4432565090670115,211.64021164021165
1189.5,0.7,0.9897797395894509,4.355765018113813,211.64021164021165
1190.0,0.7,0.9899781271486862,4.270643730734094,211.64021164021165
1190.5,0.7,0.9901712438241599,4.187805878065612,211.64021164021165
1191.0,0.7,0.9903592782678214,4.107168790935083,211.64021164021165
1191.5,0.7,0.9905424104268106,4.028653661449708,211.64021164021165
1192.0,0.7,0.9907208120376529,3.952185321024644,211.64021164021165
1192.5,0.7,0.9908946470873573,3.877692033540223,211.64021164021165
1193.0,0.7,0.9910640722436546,3.80510530243887,211.64021164021165
1193.5,0.7,0.9912292372570487,3.7343596906782217,211.64021164021165
1194.0,0.7,0.9913902853365283,3.6653926525519904,211.64021164021165
1194.5,0.7,0.9915473535012304,3.5981443764756365,211.64021164021165
1195.0,0.7,0.9917005729095367,3.5325576379121775,211.64021164021165
1160.0,0.8,0.7652413789586255,118.79695337189986,211.64021164021165
1160.5,0.8,0.803313119644771,96.35211936224647,211.64021164021165
1161.0,0.8,0.8311671491194539,80.84527371064488,211.64021164021165
1161.5,0.8,0.8524111316635767,69.49185257588996,211.64021164021165
1162.0,0.8,0.8691390771405564,60.821561716726606,211.64021164021165
1162.5,0.8,0.8826473205959465,53.984820661322615,211.64021164021165
1163.0,0.8,0.8937804117362529,48.456475470982944,211.64021164021165
1163.5,0.8,0.9031117837859921,43.894434754213144,211.64021164021165
1164.0,0.8,0.9110442956217848,40.066297109993556,211.64021164021165
1164.5,0.8,0.9178691845967617,36.80864942400577,211.64021164021165
