T_K,scenario,Ecalc,t_star_s,sigma_s
1160.0,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.7730885025330899,59.39847668594993,110.22927689594357
1160.5,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.8101140345179646,48.176059681123235,110.22927689594357
1161.0,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.8371432772530871,40.42263685532244,110.22927689594357
1161.5,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.857725704450724,34.74592628794498,110.22927689594357
1162.0,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.873913464877436,30.410780858363303,110.22927689594357
1162.5,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.8869733631959249,26.992410330661308,110.22927689594357
1163.0,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.8977289257803145,24.228237735491472,110.22927689594357
1163.5,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9067383605107467,21.947217377106572,110.22927689594357
1164.0,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.91439329121734,20.033148554996778,110.22927689594357
1164.5,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9209765123198993,18.404324712002886,110.22927689594357
1165.0,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9266972993181504,17.00161824726006,110.22927689594357
1165.5,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9317138216038039,15.781185151114823,110.22927689594357
1166.0,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.936147833703675,14.70982654739399,110.22927689594357
1166.5,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9400945776832326,13.761942851479644,110.22927689594357
1167.0,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9436296228463457,12.917477112952056,110.22927689594357
1167.5,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9468136930581288,12.160491992617134,110.22927689594357
1168.0,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9496961398103704,11.478163745353305,110.22927689594357
1168.5,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9523174842717168,10.860057280530597,110.22927689594357
1169.0,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9547113069203386,10.297594755852206,110.22927689594357
1169.5,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9569056720228666,9.78365999463912,110.22927689594357
1170.0,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.958924215235884,9.312299880008066,110.22927689594357
1170.5,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9607869837231612,8.878496078568348,110.22927689594357
1171.0,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9625110920702368,8.477988498390998,110.22927689594357
1171.5,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9641112394419145,8.107137300480419,110.22927689594357
1172.0,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.965600121054065,7.762813986108233,110.22927689594357
1172.5,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9669887583214403,7.442314654767319,110.22927689594357
1173.0,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9682867658314344,7.143290340212991,110.22927689594357
1173.5,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9695025688082535,6.86369062642745,110.22927689594357
1174.0,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9706435814560646,6.601717681004345,110.22927689594357
1174.5,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9717163541513576,6.355788527543696,110.22927689594357
1175.0,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9727266956517887,6.124503884155454,110.22927689594357
1175.5,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9736797751320009,5.90662227242849,110.22927689594357
1176.0,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9745802078267253,5.7010383853946545,110.22927689594357
1176.5,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9754321272732184,5.506764918941791,110.22927689594357
1177.0,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9762392465367702,5.32291723654671,110.22927689594357
1177.5,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9770049103306082,5.1487003649005425,110.22927689594357
1178.0,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9777321395716722,4.983397917306691,110.22927689594357
1178.5,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9784236696225734,4.826362619487413,110.22927689594357
1179.0,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9790819832394828,4.6770081737164695,110.22927689594357
1179.5,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9797093390614744,4.53480224579112,110.22927689594357
1180.0,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9803077963297387,4.399260398116857,110.22927689594357
1180.5,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9808792364060658,4.2699408232683895,110.22927689594357
1181.0,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9814253815638566,4.14643975746051,110.22927689594357
1181.5,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9819478114466277,4.028387473677938,110.22927689594357
1182.0,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9824479775249404,3.91544477075877,110.22927689594357
1182.5,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9829272158300125,3.8072998882614897,110.22927689594357
1183.0,"low make-up (F0/FCa=0.008, Xcarb=0.1)",0.9833867581990509,3.7036657880658796,110.22927689594357
