T_K,NCa_mol_per_m2,FCa_Xcarb,FCa,F0,Ecalc
1168.0,2500.0,6.0,30.0,1.5,0.8683666618932459
1168.0,2600.502512562814,6.0,30.0,1.5,0.8730034612096984
1168.0,2701.005025125628,6.0,30.0,1.5,0.8773253673923331
1168.0,2801.5075376884424,6.0,30.0,1.5,0.8813633396117013
1168.0,2902.0100502512564,6.0,30.0,1.5,0.8851444157100337
1168.0,3002.5125628140704,6.0,30.0,1.5,0.8886923127111723
1168.0,3103.0150753768844,6.0,30.0,1.5,0.8920279204881301
1168.0,3203.5175879396984,6.0,30.0,1.5,0.8951697100794956
1168.0,3304.020100502513,6.0,30.0,1.5,0.8981340733543008
1168.0,3404.522613065327,6.0,30.0,1.5,0.9009356070998594
1168.0,3505.025125628141,6.0,30.0,1.5,0.9035873518421061
1168.0,3605.527638190955,6.0,30.0,1.5,0.9061009935825637
1168.0,3706.030150753769,6.0,30.0,1.5,0.9084870349903615
1168.0,3806.5326633165832,6.0,30.0,1.5,0.9107549413045747
1168.0,3907.035175879397,6.0,30.0,1.5,0.912913265195067
1168.0,4007.537688442211,6.0,30.0,1.5,0.9149697540346505
1168.0,4108.040201005026,6.0,30.0,1.5,0.916931442403494
1168.0,4208.542713567839,6.0,30.0,1.5,0.9188047321418384
1168.0,4309.045226130654,6.0,30.0,1.5,0.9205954618615039
1168.0,4409.547738693467,6.0,30.0,1.5,0.922308967499207
1168.0,4510.050251256282,6.0,30.0,1.5,0.9239501352290135
1168.0,4610.552763819096,6.0,30.0,1.5,0.92552344783458
1168.0,4711.05527638191,6.0,30.0,1.5,0.9270330254645133
1168.0,4811.557788944723,6.0,30.0,1.5,0.928482661548235
1168.0,4912.060301507538,6.0,30.0,1.5,0.9298758545292559
1168.0,5012.562814070352,6.0,30.0,1.5,0.931215835972919
1168.0,5113.0653266331665,6.0,30.0,1.5,0.9325055955224719
1168.0,5213.56783919598,6.0,30.0,1.5,0.9337479031079348
1168.0,5314.070351758794,6.0,30.0,1.5,0.934945328753996
1168.0,5414.572864321608,6.0,30.0,1.5,0.9361002602842068
1168.0,5515.075376884422,6.0,30.0,1.5,0.9372149191774795
1168.0,5615.577889447237,6.0,30.0,1.5,0.9382913747978461
1168.0,5716.08040201005,6.0,30.0,1.5,0.9393315571888446
1168.0,5816.582914572864,6.0,30.0,1.5,0.9403372685985366
1168.0,5917.085427135678,6.0,30.0,1.5,0.9413101938796512
1168.0,6017.587939698493,6.0,30.0,1.5,0.942251909890802
1168.0,6118.090452261307,6.0,30.0,1.5,0.9431638940089179
1168.0,6218.592964824121,6.0,30.0,1.5,0.9440475318493523
1168.0,6319.095477386934,6.0,30.0,1.5,0.9449041242783441
1168.0,6419.597989949749,6.0,30.0,1.5,0.9457348937923564
